Id,Status,Created at,Updated at,Transaction type,Payment type,Data,Payment data,Deleted at,Piece disponibility
393,3,2016-07-20 16:53:16 UTC,2016-07-20 16:54:31 UTC,2,2,"{""piece_id"": 403}","{""payment"": ""15""}",,0
392,3,2016-07-20 16:50:09 UTC,2016-07-22 14:19:42 UTC,2,2,"{""piece_id"": 403}","{""payment"": ""15""}",,0
391,0,2016-07-20 16:49:23 UTC,2016-07-20 16:49:23 UTC,2,,"{""piece_id"": 403}",,,0
390,3,2016-07-20 14:20:13 UTC,2016-07-20 14:23:58 UTC,2,2,"{""piece_id"": 402}","{""payment"": ""15""}",,0
381,3,2016-06-28 13:56:56 UTC,2016-06-28 13:57:03 UTC,2,2,"{""piece_id"": 389}","{""payment"": ""15""}",,0
374,0,2016-06-26 21:10:56 UTC,2016-06-26 21:10:56 UTC,2,,"{""piece_id"": 376}",,,0
373,0,2016-06-26 15:49:42 UTC,2016-06-26 15:49:42 UTC,2,,"{""piece_id"": 375}",,,0
359,3,2016-06-20 08:44:11 UTC,2016-06-20 08:48:27 UTC,2,2,"{""pieces_name"": ""sdczdklcscscsaed""}","{""payment"": ""15""}",,1
358,3,2016-06-17 12:39:41 UTC,2016-06-17 12:42:11 UTC,2,2,"{""pieces_name"": ""testcreationoeuvreentity""}","{""payment"": ""15""}",,1
357,2,2016-06-16 15:15:37 UTC,2016-06-16 15:17:50 UTC,1,1,"{""0"": 193}","{""payment"": ""PAY-0W189517KE6640215K5RMGRY""}",,0
356,2,2016-06-16 15:11:13 UTC,2016-06-16 15:11:37 UTC,1,1,"{""0"": 218,""1"": 182}","{""payment"": ""PAY-6H674502KB630451AK5RMDUQ""}",,0
355,0,2016-06-16 15:00:42 UTC,2016-06-16 15:01:31 UTC,1,1,"{""0"": 218,""1"": 182}",,,0
354,3,2016-06-10 09:16:12 UTC,2016-06-10 09:16:21 UTC,2,2,"{""piece_id"": 350}","{""payment"": ""15""}",,0
345,3,2016-06-07 08:06:53 UTC,2016-06-07 08:07:00 UTC,2,2,"{""piece_id"": 335}","{""payment"": ""15""}",,0
344,3,2016-06-07 07:53:19 UTC,2016-06-07 07:53:28 UTC,2,2,"{""piece_id"": 334}","{""payment"": ""15""}",,0
343,3,2016-06-02 08:32:23 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 333}","{""payment"": ""15""}",,0
342,0,2016-05-19 21:59:22 UTC,2016-06-23 13:33:05 UTC,2,,"{""piece_id"": 330}",,,0
335,2,2016-05-10 13:24:38 UTC,2016-05-10 13:55:19 UTC,1,1,"{""totprice"": 300.0, ""price"": 300.0, ""pieces_name"": [""final 5"",""final 6""] , ""pieces_id"": ""[318,319]"" , ""pieces_price"": ""[150.0,150.0]""}","{""payment"": ""PAY-03503037G65324641K4Y6CBI""}",,1
326,2,2016-05-10 09:16:15 UTC,2016-05-10 09:38:43 UTC,1,1,"{""totprice"": 300.0, ""price"": 300.0, ""pieces_name"": [""test1.2.1"",""test1.2.2""] , ""pieces_id"": ""[312,313]"" , ""pieces_price"": ""[150.0,150.0]""}","{""payment"": ""PAY-9MU3301190721314HK4Y2NXA""}",,1
309,0,2016-05-06 13:26:29 UTC,2016-06-23 13:33:05 UTC,2,,"{""piece_id"": 301}",,,0
308,0,2016-05-06 13:26:06 UTC,2016-06-23 13:33:05 UTC,2,,"{""piece_id"": 301}",,,0
307,0,2016-05-06 13:25:11 UTC,2016-06-23 13:33:05 UTC,2,,"{""piece_id"": 301}",,,0
304,3,2016-05-04 13:12:29 UTC,2016-08-10 14:58:14 UTC,2,2,"{""pieces_name"": ""plaquette vitivinicole""}","{""payment"": ""15""}",,1
